Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
Sample_BkSQ.20_007.fq,0.006748185353635932,0,0,0.0019990030558284634,0,0.12939363284572022,0.008865691996114908,0,0,0,0.06877560420706375,0,0.00722624629840421,0.2770114543970215,0.018609477439943168,0.02183653761044821,0.003104851479623882,0,0,0.04354946836471506,0.1444717593738091,0.2684080875776716,0,0.38754592639246843,0.945649439965903
Sample_BkSQ.50_012.fq,0.006320166811568759,0,0.00721909460989052,0.020807552996779166,0,0.09661144615129627,0.014109686576844301,0.013435360078958073,0,0,0.018761674435276324,0,0,0.4790023350194097,0.00282390846434618,0.06628243899619975,0,0.053257587925162504,0,0.021641467816410888,0.0017420868206963489,0.1979851932971612,0,0.28581378151896575,1.025225154116137
Sample_BkSQ.8_004.fq,0,0,0,0.0382360614375598,0,0.12644445152851166,0.024315688866446084,0.010132695883261064,0,0,0.010875250232447837,0.005135495790815759,0.05120468373922565,0.48494578506452507,0.05489217245876909,0.08786534583826135,0.01477601099910129,0,0.0066496308767605115,0,0.02556392432825975,0.058962802956055056,0,0.3420160355019337,0.9751212072825395
Sample_BkSQ.90_002.fq,0,0.0371803631773251,0.005933309157830307,0.011241011905773535,0,0.08983906024770637,0.02393338714064778,0,0,0,0.03839837657462683,0,0.055899422136890746,0.5572311644201645,0.0016750095749624998,0.01259917270199285,0.005133074931791609,0,0,0.011765969989232244,0.05008401533165097,0.09908666270940472,0,0.2890455036189524,1.0225436706831206
Sample_BkSQ.191_007.fq,0.005084237773449292,0,0.0024550440416231836,0,0.0021849844343704737,0.08773338701489522,0.035939619026823584,0.013652797498270211,0,0,0.05506269756730286,0,0,0.07775344835331441,0,0,0.00336350656018953,0.01704395493012099,0,0.029063290826361696,0.1458411393526345,0.524821892620644,0,0.5621515662651176,0.8571656852578211
Sample_BkSQ.11_005.fq,0.016643064679402297,0,0.012608412036037814,0,0.08110597286975843,0.10444364043787792,0.036560309769623336,0,0,0,0.07220701129029318,0,0,0.3039897261557884,0,0.036526747837382786,0.0040476759320380445,0.022682532671277615,0.011269011637583327,0,0.05521432819054881,0.24270156649238803,0,0.3526632024286317,0.958389168318802
Sample_BkSQ.12_006.fq,0.020495739226579098,0,0.0138687526584027,0.18217629211928657,0,0.021186476937952604,0,0.028251711377024723,0.021451540372348546,0,0,0.022226256597597246,0.07822573773670051,0.3670302560038217,0,0,0.008943416890623957,0.023142274212211003,0,0,0.04338308200471543,0.16961846386273582,0,0.3895502603838981,0.9361033077006239
Sample_BkSQ.13_007.fq,0,0.0031182922116014863,0.0030842148090339965,0.011166959917228925,0,0.13211476458793917,0,0.008925119851545224,0,0,0,0.029267897880597724,0.31036139380057953,0.25019945282864037,0,0,0,0.043226566794794585,0.012446656669274601,0,0.032892894308535155,0.16319578634022913,0,0.3981923349621735,0.9332093035120852
Sample_BkSQ.15_012.fq,0.010985635070274577,0,0,0.0011074074525352462,0,0.11606225421076304,0.051066549451141065,0.019437342439097078,0.008564487995043517,0,0,0,0,0.059669896344725235,0.0023378015361021605,0.03690940864161838,0.0009,0,0,0.02247170733840023,0,0.6704746199354474,0,0.4266969741137726,1.028434588084441
Sample_BkSQ.200_004.fq,0.006216467329144595,0,0,0.015177910317949921,0,0.12305600798158745,0.018445376761150486,0.004321506539314958,0,0,0.007507391877152094,0.014806654375795297,0.020924100916184706,0.4483119633961336,0.048883912901983316,0.0616611101721702,0.007218582845928117,0,0,0.017631256564968643,0.038463500584209845,0.16737425743632667,0,0.30843634810270776,1.0002444496219642
Sample_BkSQ.210_012.fq,0,0,0,0,0,0.05831920911435237,0.013353108845572371,0,0,0,0.011320642166879162,0,0,0.15641360491471396,0,0.04931135938551178,0.03626741275502825,0.03852947254236018,0,0,0.24391837792787543,0.3925668123477066,0,0.5892115547528408,0.8166107596798484
Sample_BkSQ.23_004.fq,0.013648593511276839,0,0,0.022369496665294277,0,0.1310640906896253,0.012503869938032184,0.015268605702966554,0,0,0.025479663272422504,0.0018200138005994215,0,0.505085268335342,0.05385756331101784,0.012722278266744973,0.009502804164468375,0,0,0.010590964026567031,0.0293724854525158,0.1567143028631269,0,0.26365089170294165,1.0330475614285317
Sample_BkSQ.24_005.fq,0,0.029003051066009904,0.016588460335784868,0.03207507687092613,0.01292119044827314,0.09061006561049796,0.013015306885447915,0.03978628499461822,0,0,0,0.025546804213170977,0.015710066718666274,0.25076748380177066,0,0,0.0032446613413311186,0.33258074535391996,0,0.05433818892979547,0.0030259771270048537,0.08078663630278253,0,0.33745344467644905,0.9641348226533566
Sample_BkSQ.25_006.fq,0,0,0,0.011574702645317642,0,0.1314991226953897,0.0020014268020593687,0,0,0,0.012195139729387789,0.005590447307393033,0,0.2627892293849825,0.011018482122135458,0.06402880399688306,0,0.027791859206083593,0.025630315899500315,0,0.14103967956357194,0.3048407906472956,0,0.4411354991714666,0.9155460500888282
Sample_BkSQ.28_012.fq,0.018314430983908246,0,0.001819703009446917,0,0,0.10263795552643694,0.021446944264699036,0.025824398345925266,0.005293376746537082,0,0.05418367730097442,0,0,0.3845210325936071,0.006829432348519496,0.08676897381836064,0.009735591995352436,0,0,0.0033065379553712075,0.07632569456647822,0.20299225054438297,0,0.25330516860184943,1.0265004280216297
Sample_BkSQ.29_005.fq,0.008998235499249767,0,0,0.009586637169751038,0,0.10555937187963982,0,0.0028056589928264265,0,0,0.012082330446622857,0,0,0.5672310758337189,0.030810425954727966,0.07796560680685856,0.004254957208014444,0,0,0.005666733094711517,0.046333007683548,0.12870595943033067,0,0.2627367104324224,1.0548150596837587
Sample_BkSQ.31_004.fq,0.021013584275510998,0,0,0.04125256246097144,0,0.16076975361086743,0.03658148458667937,0.00998480562818054,0,0,0.04741491619405255,0.019304938944239475,0.0008,0.09164094323630374,0.03585324496171336,0.02193796164024,0.01263901386777368,0.002214767820257363,0,0.0702446882023131,0.12902253205814576,0.29932044819314507,0,0.3963824324799003,0.9328039487684654
Sample_BkSQ.204_012.fq,0,0,0.009582361425416377,0,0,0.19014020889468353,0.006742656768748289,0,0,0,0,0.023201689158226395,0.04763676239991773,0.19193289210403103,0,0,0.024163527134275567,0.040604655166080104,0,0.04218829390584312,0.1593641412144454,0.26444281182833257,0,0.5176110010972037,0.8567343604611877
Sample_BkSQ.202_006.fq,0.008383454940634416,0,0,0.037879076366519326,0,0.11190420772982396,0.008741238871529855,0,0,0,0.04453002040803278,0,0.020849218337196208,0.5117022362767026,0.01541580137999493,0.018962523101950107,0,0.0256664854758084,0,0.0029248413438091193,0.031727054085712886,0.16131384168228535,0,0.24878688634580717,1.0458455204520651
Sample_BkSQ.33_006.fq,0,0,0.00994502392838473,0,0,0.1777009479322919,0.014463835112969285,0,0,0,0.024059511237779965,0.007172785579092419,0.036114167888390135,0.2047752254994561,0,0.05565763198288012,0,0.23588075296752814,0,0.0343882769734033,0.05089388695518658,0.14894795394263735,0,0.34374118342663845,0.9542248347191759
